model,field,context,source
prema.ai.action.request,action_type,python-write,models/ai_action_request.py
prema.ai.action.request,expires_at,python-write,models/ai_action_request.py
prema.ai.action.request,model_name,python-write,models/ai_action_request.py
prema.ai.action.request,payload_json,python-write,models/ai_action_request.py
prema.ai.action.request,record_id,python-write,models/ai_action_request.py
prema.ai.config.audit,active,python-domain,models/ai_config_audit.py
prema.ai.dashboard,status,python-domain,models/ai_dashboard_metrics.py
prema.ai.document.processor,action_type,python-write,models/ai_document_processor.py
prema.ai.document.processor,advice,python-write,models/ai_document_processor.py
prema.ai.document.processor,amount_total,python-domain,models/ai_document_processor.py
prema.ai.document.processor,classification,python-domain,models/ai_document_processor.py
prema.ai.document.processor,move_type,python-domain,models/ai_document_processor.py
prema.ai.document.processor,name,python-write,models/ai_document_processor.py
prema.ai.document.processor,payload_json,python-write,models/ai_document_processor.py
prema.ai.document.processor,rationale,python-write,models/ai_document_processor.py
prema.ai.document.processor,ref,python-domain,models/ai_document_processor.py
prema.ai.document.processor,session_id,python-domain,models/ai_document_processor.py
prema.ai.document.processor,status,python-domain,models/ai_document_processor.py
prema.ai.document.processor,status,python-write,models/ai_document_processor.py
prema.ai.document.processor,target_model,python-write,models/ai_document_processor.py
prema.ai.document.processor,target_res_id,python-write,models/ai_document_processor.py
prema.ai.error.monitor,level,python-domain,models/ai_error_monitor.py
prema.ai.integrity.engine,name,python-domain,models/ai_integrity_engine.py
prema.ai.mail.monitor,state,python-domain,models/ai_mail_monitor.py
prema.ai.memory,action,python-write,models/ai_memory.py
prema.ai.memory,action_request_id,python-write,models/ai_memory.py
prema.ai.memory,approved,python-domain,models/ai_memory.py
prema.ai.memory,details,python-write,models/ai_memory.py
prema.ai.memory,executed,python-domain,models/ai_memory.py
prema.ai.memory,issue_signature,python-domain,models/ai_memory.py
prema.ai.memory,issue_signature,python-write,models/ai_memory.py
prema.ai.memory,model_name,python-write,models/ai_memory.py
prema.ai.memory,record_id,python-write,models/ai_memory.py
prema.ai.memory,resolution_summary,python-write,models/ai_memory.py
prema.ai.memory,status,python-write,models/ai_memory.py
prema.ai.memory,success_rate,python-write,models/ai_memory.py
prema.ai.memory,token,python-domain,models/ai_memory.py
prema.ai.memory,usage_count,python-write,models/ai_memory.py
prema.ai.performance,create_date,python-domain,models/ai_performance_monitor.py
prema.ai.performance,message,python-domain,models/ai_performance_monitor.py
prema.ai.predictive,level,python-domain,models/ai_predictive_model.py
prema.ai.proposal,apply_log,python-write,models/prema_ai_proposal.py
prema.ai.proposal,error_trace_masked,python-write,models/prema_ai_proposal.py
prema.ai.proposal,status,python-write,models/prema_ai_proposal.py
prema.ai.self.heal,active,python-domain,models/ai_self_heal_engine.py
prema.ai.write.gate,action,python-write,models/ai_write_gate.py
prema.ai.write.gate,action_request_id,python-write,models/ai_write_gate.py
prema.ai.write.gate,approved,python-domain,models/ai_write_gate.py
prema.ai.write.gate,details,python-write,models/ai_write_gate.py
prema.ai.write.gate,executed,python-domain,models/ai_write_gate.py
prema.ai.write.gate,model_name,python-write,models/ai_write_gate.py
prema.ai.write.gate,record_id,python-write,models/ai_write_gate.py
prema.ai.write.gate,status,python-write,models/ai_write_gate.py
prema.ai.write.gate,token,python-domain,models/ai_write_gate.py
prema.anomaly.engine,explanation,python-write,models/anomaly_engine.py
prema.anomaly.engine,model_name,python-write,models/anomaly_engine.py
prema.anomaly.engine,move_type,python-domain,models/anomaly_engine.py
prema.anomaly.engine,record_id,python-write,models/anomaly_engine.py
prema.anomaly.engine,rule_name,python-write,models/anomaly_engine.py
prema.anomaly.engine,severity,python-write,models/anomaly_engine.py
prema.audit.engine,explanation,python-write,models/audit_engine.py
prema.audit.engine,model_name,python-write,models/audit_engine.py
prema.audit.engine,record_id,python-write,models/audit_engine.py
prema.audit.engine,rule_name,python-write,models/audit_engine.py
prema.audit.engine,severity,python-write,models/audit_engine.py
prema.cleanup.plan,approved,python-write,models/cleanup_plan.py
prema.cra.engine,amount_tax,python-domain,models/cra_rule_engine.py
prema.cra.engine,country_id.code,python-domain,models/cra_rule_engine.py
prema.cra.engine,explanation,python-write,models/cra_rule_engine.py
prema.cra.engine,model_name,python-write,models/cra_rule_engine.py
prema.cra.engine,move_type,python-domain,models/cra_rule_engine.py
prema.cra.engine,partner_id,python-domain,models/cra_rule_engine.py
prema.cra.engine,record_id,python-write,models/cra_rule_engine.py
prema.cra.engine,rule_name,python-write,models/cra_rule_engine.py
prema.cra.engine,severity,python-write,models/cra_rule_engine.py
prema.cra.engine,state,python-domain,models/cra_rule_engine.py
prema.cra.engine,supplier_rank,python-domain,models/cra_rule_engine.py
prema.dedupe.service,file_sha256,python-domain,services/dedupe_service.py
prema.fx.validator,currency_id,python-domain,models/fx_validator.py
prema.fx.validator,explanation,python-write,models/fx_validator.py
prema.fx.validator,model_name,python-write,models/fx_validator.py
prema.fx.validator,record_id,python-write,models/fx_validator.py
prema.fx.validator,rule_name,python-write,models/fx_validator.py
prema.fx.validator,severity,python-write,models/fx_validator.py
prema.fx.validator,state,python-domain,models/fx_validator.py
prema.health.score,status,python-domain,models/health_score.py
prema.integrity.scanner,explanation,python-write,models/integrity_scanner.py
prema.integrity.scanner,model_name,python-write,models/integrity_scanner.py
prema.integrity.scanner,record_id,python-write,models/integrity_scanner.py
prema.integrity.scanner,rule_name,python-write,models/integrity_scanner.py
prema.integrity.scanner,severity,python-write,models/integrity_scanner.py
prema.llm.service,action,python-write,services/llm_service.py
prema.llm.service,details,python-write,services/llm_service.py
prema.llm.service,status,python-write,services/llm_service.py
prema.performance.guard,action,python-domain,services/performance_guard.py
prema.performance.guard,create_date,python-domain,services/performance_guard.py
prema.plan.generator,action_type,python-write,services/plan_generator.py
prema.plan.generator,approval_stage,python-write,services/plan_generator.py
prema.plan.generator,description,python-write,services/plan_generator.py
prema.plan.generator,model_name,python-write,services/plan_generator.py
prema.plan.generator,name,python-write,services/plan_generator.py
prema.plan.generator,plan_id,python-write,services/plan_generator.py
prema.plan.generator,record_id,python-write,services/plan_generator.py
prema.plan.generator,risk_score,python-write,services/plan_generator.py
prema.plan.generator,sequence,python-write,services/plan_generator.py
prema.plan.generator,severity,python-write,services/plan_generator.py
prema.plan.generator,status,python-domain,services/plan_generator.py
prema.plan.generator,summary,python-write,services/plan_generator.py
prema.reconcile.advisor,amount_total,python-domain,models/reconciliation_advisor.py
prema.reconcile.advisor,explanation,python-write,models/reconciliation_advisor.py
prema.reconcile.advisor,is_reconciled,python-domain,models/reconciliation_advisor.py
prema.reconcile.advisor,model_name,python-write,models/reconciliation_advisor.py
prema.reconcile.advisor,record_id,python-write,models/reconciliation_advisor.py
prema.reconcile.advisor,rule_name,python-write,models/reconciliation_advisor.py
prema.reconcile.advisor,severity,python-write,models/reconciliation_advisor.py
prema.risk.matrix,status,python-domain,models/risk_matrix.py
prema.service.tool.registry,action,python-write,services/tool_registry.py
prema.service.tool.registry,details,python-write,services/tool_registry.py
prema.service.tool.registry,status,python-write,services/tool_registry.py
prema.tool.registry,display_type,python-domain,models/tool_registry.py
prema.tool.registry,is_complete,python-domain,models/tool_registry.py
prema.tool.registry,is_reconciled,python-domain,models/tool_registry.py
prema.tool.registry,move_id.state,python-domain,models/tool_registry.py
prema.tool.registry,move_type,python-domain,models/tool_registry.py
prema.tool.registry,state,python-domain,models/tool_registry.py
prema.tool.registry,tax_line_id,python-domain,models/tool_registry.py
prema.write.gate.service,action,python-write,services/write_gate.py
prema.write.gate.service,details,python-write,services/write_gate.py
prema.write.gate.service,model_name,python-write,services/write_gate.py
prema.write.gate.service,record_id,python-write,services/write_gate.py
prema.write.gate.service,status,python-write,services/write_gate.py
unknown,actions,js-token,static/src/js/chat.js
unknown,active,xml-view,data/cron.xml
unknown,advice_only,js-token,static/src/js/chat.js
unknown,assistant,js-token,static/src/js/chat.js
unknown,attachment_id,python-write,controllers/upload_controller.py
unknown,bus_service,js-token,static/src/js/chat.js
unknown,category_id,xml-view,security/security.xml
unknown,code,xml-view,data/cron.xml
unknown,code,xml-view,data/default_rules.xml
unknown,content,python-write,controllers/chat_controller.py
unknown,datas,python-write,controllers/upload_controller.py
unknown,description,xml-view,data/default_rules.xml
unknown,done,js-token,static/src/components/ai_chat_upload/ai_chat_upload.js
unknown,error,js-token,static/src/components/ai_chat_upload/ai_chat_upload.js
unknown,file,js-token,static/src/components/ai_chat_upload/ai_chat_upload.js
unknown,implied_ids,xml-view,security/security.xml
unknown,interval_number,xml-view,data/cron.xml
unknown,interval_type,xml-view,data/cron.xml
unknown,mimetype,python-write,controllers/upload_controller.py
unknown,model_id,xml-view,data/cron.xml
unknown,model_name,python-write,controllers/chat_controller.py
unknown,name,python-write,controllers/chat_controller.py
unknown,name,python-write,controllers/upload_controller.py
unknown,name,xml-view,data/cron.xml
unknown,name,xml-view,data/default_rules.xml
unknown,name,xml-view,security/security.xml
unknown,name,xml-view,views/chat_action.xml
